Mã,Tiêu đề,Nhóm,Độ khó,Phút,XP,Đang bật,Mô tả,Số bước,Các bước,Lợi ích (benefits),CẢNH BÁO: tiêu đề quá dài,CẢNH BÁO: thiếu mô tả,CẢNH BÁO: trùng tiêu đề với,Ghi chú rà soát
1.18,Ngắm biển,easy,easy,5,15,có,"Ngắm biển hoặc ngắm toàn cảnh từ một đỉnh núi. Người dùng có thể đi bộ ở bãi biển, cảm nhận từng làn nước biển và đi chân trần trên cát. Họ có thể hét lên thật lớn khi ở trên ngọn núi.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Ngắm biển'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.19,Dọn dẹp gọn gàng,easy,easy,5,15,có,"Dọn dẹp nhà cửa, khu vực làm việc, đơn giản hóa mọi thứ, vứt bỏ những thứ không còn cần thiết, điều này giúp cho mắt bạn rồi đến tâm trí của bạn được cởi trói, thoải mái hơn và sẽ tập trung hơn. Less is more",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Dọn dẹp gọn gàng'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.2,Ngủ đủ giấc,easy,easy,5,15,có,"Ngủ 7–9 tiếng/đêm giúp cải thiện tâm trạng, tăng khả năng tập trung và ra quyết định (Walker, 2017).",5,"1. Tạo môi trường mờ tối, nhiệt độ mát mẻ và yên tĩnh. | 2. Rời xa điện thoại di động ít nhất 15-30 phút trước đó. | 3. Nằm thả lỏng trên giường, nhắm mắt lại. | 4. Quét cơ thể từ ngón chân lên đỉnh đầu, thả lỏng từng phần. | 5. Cho phép bản thân chìm vào giấc ngủ tự nhiên không gượng ép.",Phục hồi năng lượng cho tế bào và dọn dẹp 'rác thải' trong não; Cân bằng lại hormone stress cortisol và adrenaline; Tăng cường trí nhớ và khả năng giải quyết vấn đề,,,,
1.2,Tập trung xử lý sâu một công việc,easy,easy,5,15,có,"Dành thời gian của bạn, dù chỉ 10-30 phút để suy nghĩ sâu, giải quyết một công việc khó hoặc cần tập trung. Việc này giúp bạn cảm thấy bản thân đang có hiệu suất làm việc cao, được xả stress bằng việc tập trung cao độ. Sử dụng các phương pháp như GTD (Getting Things Done) để quản lý công việc hiệu quả hơn, giảm bớt căng thẳng",5,"1. Chọn tư thế ngồi thẳng lưng thoải mái. | 2. Nhắm mắt và đem sự chú ý hướng về hơi thở tự nhiên. | 3. Khi có suy nghĩ khác chen ngang, đừng phán xét, hãy ghi nhận chúng. | 4. Nhẹ nhàng đưa sự chú ý quay lại hơi thở. | 5. Duy trì trạng thái hiện diện này cho đến khi kết thúc thời gian.","Làm dày vỏ não trước trán, cải thiện khả năng điều tiết cảm xúc; Giảm kích thước hạch hạnh nhân (amygdala) liên quan đến lo âu; Tăng khả năng tập trung (attention span)",,,,
1.21,Treo ảnh tạo động lực,easy,easy,5,15,có,"Treo một tấm ảnh của người bạn yêu mến hoặc một bức ảnh tạo động lực mà chỉ bạn biết bí mật trong đó sẽ giúp cho bạn cảm thấy mọi thứ tốt hơn, mình vẫn còn may mắn hay vẫn có những tình cảm đẹp dành cho mình.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Treo ảnh tạo động lực'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.22,Vận động khác,easy,easy,5,15,có,Sử dụng công cụ đấm (đám vào túi cát) hoặc chống đẩy,5,"1. Mặc đồ thoải mái và mang giày phù hợp. | 2. Khởi động nhẹ nhàng các khớp trong 1-2 phút. | 3. Thực hiện bài tập (đi bộ, nhảy, leo cầu thang) với nhịp độ tăng dần. | 4. Chú ý vào nhịp thở và sự vận động của cơ bắp. | 5. Giãn cơ sau khi hoàn thành để cơ thể phục hồi.","Endorphin được tiết ra giúp giảm đau và tạo cảm giác hưng phấn; Cải thiện tuần hoàn máu lên não, minh mẫn hơn; Tiêu hao lượng adrenaline dư thừa gây bồn chồn",,,,
1.23,Xông hơi,easy,easy,5,15,có,"Sử dụng phòng xông hơi nếu người dùng không thể vận động, việc ra mồ hôi giúp cho người dùng giảm stress",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Xông hơi'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.24,Massage,easy,easy,5,15,có,"Yêu cầu người dùng tự chuẩn bị một công cụ massage như súng massage, quả bóng tennis hoặc vê bóng golf…",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Massage'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.25,Thay đổi tích cực về ngoại hình,easy,easy,5,15,có,"Cắt tóc hoặc thay đổi ngoại hình một cách tích cực cũng giúp bản thân người dùng có sự tự tin, thay đổi tích cực cách nhìn của người khác vào họ",5,"1. Lấy một cuốn sổ hoặc mở ứng dụng ghi chú. | 2. Hồi tưởng lại những khoảnh khắc, sự việc vừa diễn ra trong ngày. | 3. Viết ra 3 điều cụ thể mà bạn cảm thấy biết ơn hoặc tự hào. | 4. Viết kèm lý do tại sao điều đó lại có ý nghĩa với bạn. | 5. Đọc lại danh sách và mỉm cười ghi nhận những giá trị tốt đẹp.",Tái cấu trúc thần kinh (neuroplasticity) theo hướng tích cực; Giảm triệu chứng trầm cảm lên đến 30% nếu thực hành lâu dài; Tăng cường sản sinh serotonin tự nhiên,,,,
1.26,Thay đổi chế độ ăn uống và biến nó trở nên lành mạnh,easy,easy,5,15,có,"Thực phẩm giàu omega-3 (cá hồi, hạt óc chó), magie (rau xanh), và vitamin B (trứng, ngũ cốc) hỗ trợ chức năng não, giảm viêm và cân bằng hormone. Giảm hoặc tránh ăn thịt động vật 4 chân, chuyển sang ăn 2 chân hoặc không chân. Tránh thực phẩm gây biến động đường huyết (đồ ngọt, tinh bột tinh chế) và muối. Cho mình một thanh Socola đen hàng ngày cũng giúp bạn giảm stress hiệu quả.",5,"1. Chuẩn bị một cốc nước lọc (có thể là nước ấm). | 2. Cầm cốc nước trên tay, cảm nhận nhiệt độ truyền qua da. | 3. Uống một ngụm nhỏ đầu tiên, giữ trong miệng 2-3 giây. | 4. Nuốt chậm rãi và cảm nhận dòng nước đi xuống họng. | 5. Tiếp tục uống từng ngụm nhỏ cho đến khi hết cốc.","Hydrat hóa tế bào não, giảm đau đầu do căng thẳng; Kích hoạt phản xạ nuốt giúp làm dịu dây thần kinh phế vị; Thực hành chánh niệm grounding hiệu quả",,,,
1.27,Tập trung vào âm thanh môi trường (Sound Scavenger Hunt),easy,easy,5,15,có,"Yêu cầu người dùng ngồi yên và liệt kê 3 âm thanh họ nghe thấy trong môi trường xung quanh (chim hót, tiếng gió, tiếng xe cộ).",5,"1. Đeo tai nghe hoặc bật loa với âm lượng vừa phải. | 2. Nhắm mắt lại để tập trung vào thính giác. | 3. Lắng nghe từng nốt nhạc, giai điệu hoặc lời bài hát. | 4. Thả lỏng cơ thể theo nhịp điệu của âm thanh. | 5. Cho phép tâm trí phiêu lưu theo bản nhạc trong ít nhất 5 phút.",Giảm nhịp tim và đồng bộ hóa sóng não thành trạng thái Alpha; Kích thích khu vực vỏ não tiết ra dopamine; Giảm lo âu đáng kể so với việc im lặng thụ động,,,,
1.28,Sử dụng nến thơm (có nguồn gốc thiên nhiên) hoặc những mùi hương hoa,easy,easy,5,15,có,"Sử dụng mùi hương giúp bạn có thể thư giãn, mùi hương có thể đơn giản là mùi hoa, nến thơm, mùi sữa chua lên men, mùi lúa chín, mùi cây cỏ, …",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Sử dụng nến thơm (có nguồn gốc thiên nhiên) hoặc những mùi hương hoa'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",DÀI 68 ký tự,,,
1.29,Nghe một ca khúc tạo động lực (Motivational Music Task),easy,easy,5,15,có,Đề xuất danh sách nhạc tạo động lực cho người dùng.,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Nghe một ca khúc tạo động lực (Motivational Music Task)'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.3,Tự vấn trước khi ngủ và khi thức dậy nhưng chưa ra khỏi giường,easy,easy,5,15,có,"Dành ra vài phút trước khi ngủ để tự hỏi bản thân. Điều gì làm bạn tự hào của ngày hôm nay, ngày hôm nay đã làm đc gì? Nên làm gì, đáng lẽ ra không nên làm gì?",5,"1. Tạo môi trường mờ tối, nhiệt độ mát mẻ và yên tĩnh. | 2. Rời xa điện thoại di động ít nhất 15-30 phút trước đó. | 3. Nằm thả lỏng trên giường, nhắm mắt lại. | 4. Quét cơ thể từ ngón chân lên đỉnh đầu, thả lỏng từng phần. | 5. Cho phép bản thân chìm vào giấc ngủ tự nhiên không gượng ép.",Phục hồi năng lượng cho tế bào và dọn dẹp 'rác thải' trong não; Cân bằng lại hormone stress cortisol và adrenaline; Tăng cường trí nhớ và khả năng giải quyết vấn đề,DÀI 62 ký tự,,,
1.3,Chọn một câu trích dẫn yêu thích (Pick a Positive Quote),easy,easy,5,15,có,"Ứng dụng đưa ra nhiều câu trích dẫn tích cực, người dùng chọn câu mà họ yêu thích nhất và viết lý do vì sao. Trong đó đặc biệt sử dụng câu trích dẫn: “Mọi thứ rồi cũng qua”. Hoặc người dùng có thể tự sáng tạo ra câu nói của mình",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Chọn một câu trích dẫn yêu thích (Pick a Positive Quote)'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,1.41,
1.31,Cảm nhận bàn chân (Grounding with Feet Awareness),easy,easy,5,15,có,Hướng dẫn người dùng cởi giày và cảm nhận lòng bàn chân chạm đất trong 2 phút.,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Cảm nhận bàn chân (Grounding with Feet Awareness)'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,1.42,
1.32,Tự vấn bản thân những câu hỏi đơn giản và trả lời chậm và trung thực,easy,easy,5,15,có,"Tự hỏi bản thân những câu hỏi như ""Những suy nghĩ này có giúp ích gì không?"" Việc tự nhận thức và luôn tự đánh giá nhận thức việc này luôn làm cho bản thân bớt đi được những suy nghĩ rác.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Tự vấn bản thân những câu hỏi đơn giản và trả lời chậm và trung thực'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",DÀI 68 ký tự,,,
1.33,"Tạo danh sách ""5 thứ quan trọng nhất cuộc đời bạn”",easy,easy,5,15,có,"Danh sách của tôi là: Sức khỏe, Gia đình, Sự nghiệp, MQH xã hội, Đam mê cá nhân và sự vui vẻ. Còn bạn??? Ngoài những điều này hãy cho qua hết nhé. Hãy liệt kê 20 điều nằm trong phạm vi này và 20 đến 30 điều không nằm trong danh sách này.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Tạo danh sách ""5 thứ quan trọng nhất cuộc đời bạn”'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.34,"Tạo danh sách ""3 điều biết ơn"" (Gratitude List Game)",easy,easy,5,15,có,"Yêu cầu người dùng liệt kê 3 điều họ cảm thấy biết ơn trong ngày hôm nay. Hãy biết ơn cả những kẻ thù và những người không tốt với mình để họ dạy cho mình trân trọng những người còn lại, những người hàng ngày vẫn mỉm cười tin yêu với sự tồn tại của bản thân.",5,"1. Lấy một cuốn sổ hoặc mở ứng dụng ghi chú. | 2. Hồi tưởng lại những khoảnh khắc, sự việc vừa diễn ra trong ngày. | 3. Viết ra 3 điều cụ thể mà bạn cảm thấy biết ơn hoặc tự hào. | 4. Viết kèm lý do tại sao điều đó lại có ý nghĩa với bạn. | 5. Đọc lại danh sách và mỉm cười ghi nhận những giá trị tốt đẹp.",Tái cấu trúc thần kinh (neuroplasticity) theo hướng tích cực; Giảm triệu chứng trầm cảm lên đến 30% nếu thực hành lâu dài; Tăng cường sản sinh serotonin tự nhiên,,,1.43,
1.35,Thực hiện bài tập thể dục đơn giản:,easy,easy,5,15,có,"Thực hiện các động tác thể dục, tự massage đơn giản như vươn vai, massage mắt",5,"1. Mặc đồ thoải mái và mang giày phù hợp. | 2. Khởi động nhẹ nhàng các khớp trong 1-2 phút. | 3. Thực hiện bài tập (đi bộ, nhảy, leo cầu thang) với nhịp độ tăng dần. | 4. Chú ý vào nhịp thở và sự vận động của cơ bắp. | 5. Giãn cơ sau khi hoàn thành để cơ thể phục hồi.","Endorphin được tiết ra giúp giảm đau và tạo cảm giác hưng phấn; Cải thiện tuần hoàn máu lên não, minh mẫn hơn; Tiêu hao lượng adrenaline dư thừa gây bồn chồn",,,,
1.36,Bài tập nụ cười (Smile for 1 Minute Challenge),easy,easy,5,15,có,Yêu cầu người dùng mỉm cười liên tục trong 1 phút. Ứng dụng có thể bật camera và ghi nhận thử thách hoàn thành.,5,"1. Ngồi trước gương hoặc nhìn thẳng phía trước. | 2. Mỉm cười một cách có chủ đích, nhe răng ra. | 3. Giữ nụ cười này trong đúng 60 giây liên tục. | 4. Nếu thấy mỏi hay buồn cười, hãy cứ cười lớn. | 5. Thư giãn cơ mặt và cảm nhận sự thay đổi tâm trạng.",Thuyết điểm hồi âm cơ mặt: NÃO BỘ nhận tín hiệu mô phỏng vui vẻ và sinh ra Serotonin giả lập; Giảm nhịp tim sau căng thẳng hiệu quả,,,E14,
